ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,52,OJINAGA,26,44,5124,2545,46,60,341,31,75,2467,89,50,35,30,3,22,19,3,10,79,23,9,26,3,560,20,371,12041,22115
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,11,687,662,55,262,133,20,25,770,60,12,34,2,0,2,16,3,0,43,4,4,25,0,96,1,150,3066,5733
8,CHIHUAHUA,54,RIVA PALACIO,9,16,908,627,5,235,90,9,3,407,22,1,2,2,1,1,2,3,2,7,1,0,0,0,48,25,81,2482,7296
8,CHIHUAHUA,55,ROSALES,16,26,1690,1521,61,82,623,51,71,3201,161,18,12,21,0,9,17,6,1,121,69,7,35,0,543,0,279,8599,13468
8,CHIHUAHUA,56,ROSARIO,4,4,763,594,10,0,48,2,2,229,14,3,3,0,0,0,3,0,0,1,2,0,0,0,34,0,36,1744,2056
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,640,531,3,0,63,5,1,181,24,3,2,10,2,0,4,2,0,9,4,0,3,0,35,0,68,1590,2282
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,508,491,17,4,102,9,3,571,25,6,1,1,0,0,2,1,0,10,7,3,6,0,65,0,70,1902,2570
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,11,435,679,320,85,215,14,16,784,87,4,6,3,2,0,3,2,0,22,12,2,2,0,304,0,117,3114,4232
8,CHIHUAHUA,60,SANTA BARBARA,20,22,1001,1097,394,37,425,276,65,1330,153,21,13,55,2,6,3,5,3,47,33,2,19,62,619,14,231,5913,8619
8,CHIHUAHUA,61,SATEVO,13,13,1174,324,19,7,87,12,12,684,37,6,4,3,2,3,4,1,0,27,14,3,13,0,82,0,123,2641,4064
8,CHIHUAHUA,62,SAUCILLO,32,45,3653,2443,207,138,614,70,107,5112,191,35,18,24,2,9,20,10,2,141,54,6,40,5,713,2,406,14022,24621
8,CHIHUAHUA,63,TEMOSACHIC,13,16,585,597,553,25,181,21,39,628,69,6,8,7,2,4,4,6,1,26,10,4,13,3,83,2,225,3102,5273
8,CHIHUAHUA,64,EL TULE,6,6,692,383,3,2,58,5,0,267,21,3,1,3,0,2,2,0,0,9,2,0,3,0,58,16,119,1649,2342
8,CHIHUAHUA,65,URIQUE,16,28,4037,2328,46,33,190,16,25,994,78,14,23,23,1,11,24,8,5,80,24,2,7,0,69,1,466,8505,13326
8,CHIHUAHUA,66,URUACHI,11,15,919,999,41,19,78,20,20,704,19,21,119,10,1,6,12,8,0,22,9,4,13,0,16,0,226,3286,5227
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,12,14,598,844,524,6,119,9,15,373,31,9,29,5,4,4,15,7,0,8,7,3,3,0,88,0,101,2802,4378
9,CIUDAD DE MÉXICO,,VOTO EN EL EXTRANJERO,,,6966,1089,415,108,583,345,94,9036,345,792,232,220,191,142,48,40,39,1064,378,280,303,20,267,74,771,23842,28616
9,CIUDAD DE MÉXICO,2,AZCAPOTZALCO,347,689,51400,28760,6826,1742,8985,1690,1136,133496,4090,2795,758,302,127,960,535,146,56,8441,1713,243,1241,149,13232,252,5331,274406,378726
